krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,B-brez-stdout,obremenitev,4,kibana,15.79,650.4MiB
1,B-brez-stdout,obremenitev,4,logstash,21.32,762.4MiB
1,B-brez-stdout,obremenitev,4,alertmanager,1.49,20.08MiB
1,B-brez-stdout,obremenitev,5,prometheus,0.00,49.15MiB
1,B-brez-stdout,obremenitev,5,node-exporter,0.00,8.516MiB
1,B-brez-stdout,obremenitev,5,cadvisor,4.11,44.59MiB
1,B-brez-stdout,obremenitev,5,grafana,0.44,53.41MiB
1,B-brez-stdout,obremenitev,5,elasticsearch,12.57,1.961GiB
1,B-brez-stdout,obremenitev,5,kibana,15.33,650.4MiB
1,B-brez-stdout,obremenitev,5,logstash,32.34,762.6MiB
1,B-brez-stdout,obremenitev,5,alertmanager,0.38,20.08MiB
1,B-brez-stdout,obremenitev,6,prometheus,2.55,49.16MiB
1,B-brez-stdout,obremenitev,6,node-exporter,0.00,8.516MiB
1,B-brez-stdout,obremenitev,6,cadvisor,7.04,43.72MiB
1,B-brez-stdout,obremenitev,6,grafana,0.26,53.41MiB
1,B-brez-stdout,obremenitev,6,elasticsearch,9.12,1.961GiB
1,B-brez-stdout,obremenitev,6,kibana,15.38,650.4MiB
1,B-brez-stdout,obremenitev,6,logstash,46.33,776.6MiB
1,B-brez-stdout,obremenitev,6,alertmanager,0.21,20.08MiB
1,B-brez-stdout,obremenitev,7,prometheus,0.05,49.15MiB
1,B-brez-stdout,obremenitev,7,node-exporter,0.00,8.512MiB
1,B-brez-stdout,obremenitev,7,cadvisor,3.52,43.73MiB
1,B-brez-stdout,obremenitev,7,grafana,0.12,53.41MiB
1,B-brez-stdout,obremenitev,7,elasticsearch,7.98,1.961GiB
1,B-brez-stdout,obremenitev,7,kibana,11.05,650.4MiB
1,B-brez-stdout,obremenitev,7,logstash,27.39,776.6MiB
1,B-brez-stdout,obremenitev,7,alertmanager,0.56,20.08MiB
1,B-brez-stdout,obremenitev,8,prometheus,0.06,49.15MiB
1,B-brez-stdout,obremenitev,8,node-exporter,0.00,8.512MiB
1,B-brez-stdout,obremenitev,8,cadvisor,5.27,43.74MiB
1,B-brez-stdout,obremenitev,8,grafana,0.22,53.41MiB
1,B-brez-stdout,obremenitev,8,elasticsearch,10.12,1.961GiB
1,B-brez-stdout,obremenitev,8,kibana,11.63,650.4MiB
1,B-brez-stdout,obremenitev,8,logstash,24.64,776.6MiB
1,B-brez-stdout,obremenitev,8,alertmanager,0.31,20.08MiB
1,B-brez-stdout,obremenitev,9,prometheus,3.33,48.17MiB
1,B-brez-stdout,obremenitev,9,node-exporter,2.46,8.512MiB
